File_name,Participant_ID,Program,level_program,housing,year_undergraduate_degree,major,age,gender,years_studying_Spanish,Spanish_in_home,Proficiency_self_evaluation_beginning_of_program,Time,Formality,Text
part2_writing5_formal_mendoza,Participant_2,Mendoza_2022,advanced,host_family,3rd,Spanish and Economics,20,Female,7,Other: infrequently,intermediate,5,formal,"Hola Profesor [apellido], Soy [nombre], una estudiante en mi tercer año estudiando español. Fui a Mendoza y Buenos Aires en otoño con diferentes estudiantes, una de las estudiantes de usted, se llama [nombre]. A mi me encanta Buenos Aires y podíamos pasar tiempo con dos de los amigos de mis padres. Ellos tienen dos hijas y sus familias siempre vivían en Buenos Aires. Perdón por la introducción demasiado larga pero quiero preguntar le si es posible leer más escritoras de Argentina? Cuando estaba allí, tomaba una clase de literatura totalmente enfocada en Argentina pero por lo general todos eran hombres y pocas eran mujeres. Tomaba clases de historia, literatura, cine, lingüística, y una clase enfocada en conversación con parejas. También, sí usted tiene tiempo ojalá que podamos reunirnos para hablar sobre su tiempo en Argentina y porque usted se mueve a los Estados Unidos? También, quiero aprender más sobre la cultura de Argentina y su familia. Yo pasaba la mayoría de mi tiempo en Argentina en Mendoza, no en Buenos Aires. Pienso que Buenos Aires parece muy similar a Nueva York, pero esto es solamente mi opinión. Fue un viaje que cambió mi vida y estoy muy orgullosa de poder pasar tiempo allí. Ojalá que podamos reunirnos afuera del salón de clases. Gracias!"
part2_writing5_informal_mendoza,Participant_2,Mendoza_2022,advanced,host_family,3rd,Spanish and Economics,20,Female,7,Other: infrequently,intermediate,5,informal,"Hola [nombre]! ¡Extraño a tu familia y a tí! Ojala que todo esté bien con [nombre], [nombre], y tus perros. Es extraño hoy no estoy viviendo con mascotas solamente con ocho diferentes amigas. Extraño a [nombre] y nuestras conversaciones de su pasado o de la clima política. Ella es pequeña pero muy fuerte en sus convicciones y creencias. Necesita ir a Estados Unidos pero esta es una conversación totalmente diferente. Estoy escribiendo un mensaje vía correo electrónico para preguntarle tu dirección. Quiero enviarte fotos de mi vida allí de Estados Unidos y mi universidad Davis. Es un mundo totalmente diferente aquí y es la razón porque necesitas venir. Tengo fotos con mis amigos de imágenes icónicas de Davis y con mi familia. Celebré el día de Pascua con mi familia y [nombre] la semana pasada. No se si celebras allá pero es un día dedicado a la familia y estoy muy feliz que podría pasar con mi familia no sola en la universidad.  Ellos están muy felices de que finalmente estoy con ellos y no en un continente diferente. Ojala que responderé pronto y posiblemente podamos hablar en el teléfono pronto también. Quiero ver fotos de la casa, los perros, tu familia y todo Mendoza cuando tenga tiempo de enviarme. Besos, [nombre]"
part2_writing6_formal_mendoza,Participant_2,Mendoza_2022,advanced,host_family,3rd,Spanish and Economics,20,Female,7,Other: infrequently,intermediate,6,formal,"Hola Profesora [apellido],
Ojalá que todo esté bien con usted. Extraño a Mendoza y mi tiempo allá con mi familia. Porque tenía una experiencia muy buena en Argentina quiero ir a un país hispanohablante otra vez. Estoy navegando en el red sobre la programa Cuerpo de Paz. Es una programa estadounidense que empezó en 1961. Grupos de personas estadounidense va a diferentes países que necesitan ayuda y trabajan allá. La program dura dos años y tres meses. Es una programa voluntaria. Quiero hacerlo para mejorar mis habilidades de hablar español. Para hacer esta programa necesita enviar un solicitud con diferentes aspectos. Necesito escribir una explicación sobre mis razones y motivaciones para hacerla. Específicamente a las programas de países latinoamericanos necesito demostrar mi habilidad de hablar español en un nivel intermedio. Puedo demostrarlo con mis calificaciones o con haciendo un examen. Pero necesito la ayuda de usted con un aspecto diferente que es muy especial. Necesito tres notas de recomendación. Estoy escribiendo a usted por pedir por una nota. Tengo mucha en nuestra relación y porque usted ha veo a mis interacciones y mi actitud en un país hispanohablante creo que usted puede hablar de esto en la nota. Por favor decirme si esto es posible. Podemos hablar en más detalle en persona o en Zoom. Gracias por su tiempo! 
Sinceramente,
[nombre]"
part2_writing6_informal_mendoza,Participant_2,Mendoza_2022,advanced,host_family,3rd,Spanish and Economics,20,Female,7,Other: infrequently,intermediate,6,informal,"Hola [nombre],
¡Te extraño bella! Ojalá que todo estés bien contigo y con tu familia. Pienso en su familia muy frecuentemente porque conozco que es difícil después del muerte de tu abuela. Ustedes son muy fuertes y conozco que estos tiempos difíciles van a mejorar. ¡Por favor mantiene fuerza! 
Perdón por preguntando te a un favor pero tengo una noticia feliz. Necesito tu ayuda con un idea de mio. Mi mejor amiga me invitó a un viaje a Patagonia este verano. Es para sus padres aniversario de matrimonio. Estoy muy entusiasmada a ir a Argentina otra vez. Estamos visitando a Bariloche y después Buenos Aires. Quiero ir a Mendoza también y tengo un plan que necesito tu avisa. Después de Buenos Aires, su familia va a regresa a California pero quiero ir a Mendoza por un par de días. Quiero visitar a tu familia y ir al facultad y mis lugares favoritos que me extraño. También mis padres quieren ir a Mendoza también y conocer a ti y a tu familia. Los días que voy a estar en Mendoza son en la primera semana de Septiembre. Necesito ayuda con ideas que podemos hacer. 
Por favor avísame cuando tienes tiempo. Gracias por todo como siempre. 
Querido,
[nombre]"
part2_writing7_formal_mendoza,Participant_2,Mendoza_2022,advanced,host_family,3rd,Spanish and Economics,20,Female,7,Other: infrequently,intermediate,7,formal,"Hola Profesora [apellido], Ojala que estas bien y estás pasando un buen tiempo con su jubilación en Mendoza. Ojalá que un día muy cerca pueda visitar y volver a Mendoza. Quería oír sobre las cosas que usted estás haciendo hoy. Estoy escribiendo a usted porque estoy solicitando a escuela de derecho ahora y necesito una nota de recomendación. Porque usted conoce a mi en un nivel más personal en comparación de mis otras profesores creo que usted puede escribir mas información y mejor de otros. También, tengo mucho respecto para usted. Si puede incluir detalles de mi personalidad o historias sobre el viaje me gustaría mucho. Si quieres llamarnos también puedo hablar más de mis planes después de universidad. Quiero ser un abogada en la carrera de criminal. Quiero ser un fiscal en el futuro y ayuda a personas que están víctimas de abuso sexual. Por favor decirme si usted puede escribir esta nota para mi. Por favor da un abrazo a [nombre] y todos los profesores de Cuyo. Ojalá que todos estén bien y los nuevos estudiantes de UC Davis pasan un buen tiempo allá en Mendoza. Gracias por todo la apoya de usted como siempre. El consejo de usted me aprecio mucho también. Adiós Profesora [apellido]."
part2_writing7_informal_mendoza,Participant_2,Mendoza_2022,advanced,host_family,3rd,Spanish and Economics,20,Female,7,Other: infrequently,intermediate,7,informal,"Hola Amiga, Te extraño a Mendoza y a la familia de vos che. Después de un año que vine a Mendoza, estoy pensando en mis memorias muy felices. Ojalá que todo estés bien contigo y tu familia. Necesito tu ayuda con una entrevista para mi clase de español. Necesito entrevistar a una persona que es de un país diferente y habla español. Es para mi clase de lingüística aquí en Davis. ¿Podemos llamar al teléfono? Es muy fácil y rápido. No va a tomar mucho tiempo pero conozco que estás ocupado con sus actividades y su familia. Las preguntas son sobre tu experiencia aprendiendo español y tu conocimiento de otros idiomas. Cuando estaba pensando en que persona que puedo elegir, pensé que tu eres perfecta! También, podemos discutir cómo estás y tu vida en Mendoza. Extrano a [nombre] y nosotros compartimos empanadas en Harry's. Ojalá podamos hablar en persona un dia mas cerca. Necesitas visitar San Francisco y ver todo que California ofrece. Y tú tienes un lugar en el que puedes quedarte aquí! También, [nombre] me dijo que Cuyo recibió nuevos estudiantes de UC Davis hoy. Por favor, compartir mi información con su nuevo estudiante de estudio extranjero. Quiero ayudar en cualquier manera que pueda. Gracias por toda tu ayuda como siempre. ¡Adiós Amiga!"
part3_writing2_formal_mendoza,Participant_3,Mendoza_2022,intermediate,host_family,3rd,Major: Human Development; Minor: Public Health and Spanish,20,Female,2,No,intermediate low,2,formal,"¡Hola! 
¿Cómo está? Espero que todo esté bien contigo.
Necesito un favor pequeño de usted si tiene tiempo. Esperaba que tuviera algunos libros u otras recomendaciones para aprender español más rápido. Desde que llegué acá en Mendoza, me he dado cuenta de una gran mejora en mi español. Ahora, yo puedo escuchar y entender mucho más de antes, mi escritura ha mejorado, y tengo más confianza hablando español. Pero aunque hay mucho que no sé y no entiendo. Pienso que ahora mis mayores debilidades son la comprensión auditiva y hablar. 
Soy un poco impaciente, y quiero mejorar más rápido. Estoy aprendiendo español porque quiero viajar a muchos países de habla español y poder tener conversaciones con la gente. Si tiene algún consejo, me encantaría escuchar. Te pregunté porque yo sé que tiene mucha experiencia como profesor y sabe inglés y español. Me gustaría recomendaciones de libros, películas, canciones, ¡algo! Y por favor dime que hay un secreto para recordar todos las diferentes conjugaciones, ambos sabes que hay un montón. 
Agradezco cualquier ayuda, ¡muchas gracias!
[nombre]"
part3_writing2_informal_mendoza,Participant_3,Mendoza_2022,intermediate,host_family,3rd,Major: Human Development; Minor: Public Health and Spanish,20,Female,2,No,intermediate low,2,informal,"¡Hola! 
¿Cómo estás?
Te escribo porque tengo una pregunta. He estado en Mendoza por casi un mes, y tengo solo seis semanas hasta el fin de mi programa. Me siento como mi tiempo acá está pasando muy rápido. Quiero viajar a Argentina y quizás Chile después de este programa, y tengo tiempo porque mis clases terminan el 8 o 9 de diciembre, y mi vuelo a los Estados Unidos es el 22 de diciembre. 
Yo quiero saber si tienes recomendaciones para mis viajes en diciembre, o para los fines de semana mientras tengo escuela. He estado buscando en línea para cosas hacer o los viajes por el día cerca de acá y tengo algunas ideas, pero pensé que es mejor preguntar a alguien de Mendoza también.  El mes pasado, fui a Uspallata y Malargüe con mi clase. Los dos son muy lindos, y vimos Aconcagua que fue increíble. Recuerda que no tengo un carro, por eso los lugares necesitan ser accesibles de bus, tren, o un taxi barato. 
Ojalá tengas una lista muy larga de recomendaciones, así que si no quieres escribirlo podemos encontrar un café o algo. ¡Avísame! 
¡Muchas gracias! 
[nombre]"
part3_writing3_formal_mendoza,Participant_3,Mendoza_2022,intermediate,host_family,3rd,Major: Human Development; Minor: Public Health and Spanish,20,Female,2,No,intermediate low,3,formal,"Hola Profesor, 

¡Espero que todo esté bien! Te escribo sobre el ensayo para mañana. No estuve en clase hoy porque estaba enferma, y todavía estoy un poco enferma. Por eso, no vi la película Relatos Salvajes en clase esta mañana. Quería preguntarte si puedo tener una extensión para mi ensayo. 

Sólo necesitaría uno o dos días más para terminar mi ensayo. Mi plan ahora es ver la película en mi casa, pero me encantaría más tiempo con mi ensayo porque no me siento bien ahora. Entiendo si perderé puntos debido a esto, sólo pensé que iba a pedir. Si esto no es una posibilidad, quizás hay otra tarea como los puntos extra que yo puedo hacer. Avísame por favor. Que tengas un buen fin de semana, y te veré pronto ojalá. 

Muchas gracias, 
[nombre]"
part3_writing3_informal_mendoza,Participant_3,Mendoza_2022,intermediate,host_family,3rd,Major: Human Development; Minor: Public Health and Spanish,20,Female,2,No,intermediate low,3,informal,"Hola!
¿Cómo estás?

Este fin de semana tengo un amigo que viene a Mendoza. Él va a universidad en los Estados Unidos con mi amiga de la escuela secundaria, y también él está haciendo un programa de intercambio en Argentina, pero en Buenos Aires. Mi amiga nos conectó porque ambos estamos en Argentina este semestre. No lo conozco, pero mi amiga me dijo que él es muy simpático y divertido. 

Él está viniendo con algunos de sus amigos, pero nos vamos a encontrar un poco el viernes. Estaba pensando que café es una buena idea, y necesito recomendaciones. Vivo en Juan B. Justo, muy cerca al Centro y todas las plazas si conoces un café en esa zona. Tal vez uno con un patio lindo , así que podemos sentarnos afuera, porque sé que el clima será agradable el viernes. ¡Avísame si piensas en algo!

¡Gracias!
[nombre]"
part11_writing1_formal_madrid,Participant_11,Madrid_2023,advanced,host_family,3rd,"International Relations, Spanish",20,Female,8,No,intermediate high,1,formal,"Hola, Profe,
Espero que sea bien. Tengo una pregunta sobre el examen la semana próxima. Viajaré a Portugal entre el viernes y lunes, y no tengo tiempo de reunir con mi grupo el viernes para estudiar. ¿Es posible que la sesión de estudios mueve al jueves? Más, tengo miedo de mis habilidades de analizar las películas no son suficiente para el examen parcial. ¿Tiene disponibilidad después de clase el jueves para discutir los requerimientos de análisis para la película próxima que nosotros vemos? Específicamente, no sé la diferencia entre paralelismo y simbolismo. En la escena en También la Lluvia, hay confusión entre las dos ideas cuando hablar sobre la cruz y la conexión a Cristóbal Colon con la guerra de agua. Finalmente, para el ensayo dentro el examen, ¿cuántas palabras necesito? ¿La sílaba dice 500, pero en clase dije que necesita 800? ¡Muchas gracias para su ayudo, estoy emocionada para el viaje a Portugal y su clase  al Bar Ocho y Medio para aprender más sobre la cultura de cine en Madrid!
Saludos,
[nombre]"
part11_writing1_informal_madrid,Participant_11,Madrid_2023,advanced,host_family,3rd,"International Relations, Spanish",20,Female,8,No,intermediate high,1,informal,"Hola, amiga,
Necesito ayudo en las direcciones del parque de El Retiro. ¡Este fin de semana, tendré
una fiesta, y puedes venir si quieres! Pero, no sé donde están las mesas dentro el parque.
¿Es posible darme una idea? ¿Además, qué tipo de café quieres? Estoy viniendo a su casa
en la tarde de estudiar y quiero comprarte café para él ayudo. ¡Muchas gracias para su
ayudo, estoy emocionada para la fiesta! Pienso que tengo comida de México allí de Tiki
Taco o Mawey porque mi familia me dice que está muy rica, especialmente los tacos con
nopales. ¡Si tienes recomendaciones de otros lugares de comida, dime! Pues, hasta luego!
Buen fin de semana!
Saludos,
[nombre]"
part11_writing2_formal_madrid,Participant_11,Madrid_2023,advanced,host_family,3rd,"International Relations, Spanish",20,Female,8,No,intermediate high,2,formal,"Hola, Profa,

Espero que sea bien. Quiero preguntarle una cosita. No asistiré la clase el miércoles porque tengo una cita con mi psicóloga. Todo bien, pero tengo los problemas con ansiedad que son obstáculos a mi aprendizaje en la clase. Para miércoles, sé que la clase va al museo del arte en el centro de la ciudad. ¿Es posible que me encuentro contigo a las 4? Mi cita está cerca al museo, pero terminará a las 3:30 y clase empieza a las 3. Por favor, dígame si es posible, si no, puedo hablar con los profesores de [programa].

Muchas gracias,
[nombre]"
part11_writing2_informal_madrid,Participant_11,Madrid_2023,advanced,host_family,3rd,"International Relations, Spanish",20,Female,8,No,intermediate high,2,informal,"Hola,

Espero que sea bien. Quiero preguntarte si quieres ir conmigo al mercado de Rastro el domingo. Es mi cumpleaños y me encantaría comprar un vestido para la cena. Podemos reunirnos a la estación de metro en La Latina y después podemos comer al restaurante de Café del Arte cerca de la calle primaria del mercado. Estoy emocionada si funciona para ti. Dime si tienes preguntas o quieres ir al restaurante diferente. ¡Vale, hasta luego! ¡Ten buen fin de semana!

Saludos,
[nombre]"
part11_writing3_formal_madrid,Participant_11,Madrid_2023,advanced,host_family,3rd,"International Relations, Spanish",20,Female,8,No,intermediate high,3,formal,"Estimado, Profa,
¡Espero que estés bien! Quería notificarle que actualmente estoy buscando un terapeuta a través de recursos de [programa], ya que he experimentado una mayor cantidad de ansiedad, dados los cambios culturales y los sentimientos de estrés que han impactado mi capacidad para tomar exámenes con confianza. No creo que esto cambie nada con respecto a los próximos exámenes, pero quería expresar mis preocupaciones con mi salud mental en caso de que se convierta en un problema notable en el futuro. Sin embargo, estoy tomando medidas para remediar esto con el fin de persistir a través eso y aprovechar mi experiencia aquí.
Saludos,
[nombre]"
part11_writing3_informal_madrid,Participant_11,Madrid_2023,advanced,host_family,3rd,"International Relations, Spanish",20,Female,8,No,intermediate high,3,informal,"Hola, amiga,
¿Estarías abierto a venir a la sirena conmigo este fin de semana? Halle Bailey está en ella y quiero ver la película. Sin embargo, tengo una cita el viernes por la tarde, así que no puede ser entonces. Tal vez podríamos hacer sábado y cena afer? ¿Cómo fue tu viaje este fin de semana? ¡Quiero ver fotos! Tengo un examen por venir, así que creo que tendré tiempo para estudiar y reunirme para tomar un café en la Plaza de Olavide el jueves por la tarde. Hágamelo saber cuando pueda. ¡Hasta luego!
Besitos,
[nombre]"
part11_writing4_formal_madrid,Participant_11,Madrid_2023,advanced,host_family,3rd,"International Relations, Spanish",20,Female,8,No,intermediate high,4,formal,"Estimado, Profe,
Hola, espero que sea bien. Estoy en Davis en un mes, y quiero reunirte para discutir las clases del año próximo. Ahora, tengo tres clases de las ciencias políticas, historia, y la literatura, pero quiero uno más. Sé que tienes clases del arte de la historia de España, específicamente las clases sobre la historia del arte en Catalonia y el País Vasco. He tomado una clase sobre Joaquín Sorolla, pero tengo interés en el arte de Vásquez. Si no hay clase sobre Vásquez, ¿tienes la información o unos recursos en la biblioteca de Vásquez? Muchísimas gracias.
Saludos,
[nombre]"
