,id,prompt,quarter,course,age,gender,l1 language,other l1 language(s),language(s) used at home,language(s) studied,listening comprehension,reading comprehension,speaking ability,writing ability,study abroad,essay,a personal annotator1,a personal annotator2,gender-number annotator1,gender-number annotator2,corrected
10,5678,yourself,W20,,,,,,,,,,,,,"Para escribir una descripción sobre mi mismo es difícil porque yo soy muy complejo. Soy muy raro, y yo no pienso que es posible. Aunque si yo tratara, me gustaría decir que yo soy amable, generoso, cariñoso, inteligente, cómico, guapo, y por supuesto muy modesto. Aparte de todas las bromas, en realidad me apunto ser generoso, cariñoso, y ser un bueno hombre. Otro de los rasgos buenos, puedo estar irritable, impaciente, y descarado, pero yo trato ser bueno.

Yo soy de *CITY*, *STATE* que es una isla cual esta en el medio de la *PLACE* de *CITY* *CITY*. En casa, yo tengo tres perros, mis tres hermanos, y también yo tengo tres Chihuahuas. Mi hermano mayor se llama *FIRST_NAME*, y tiene *AGE* años, y el siguiente hermano se llama *FIRST_NAME*, y él tiene *AGE* años. Estes hermanos son mi hermanastros de mi padre y son mucho mas mayor que mi y mi gemelo. Mi y mi gemelo tenemos *AGE* años y ahora llevamos bien, pero en la escuela secundaria nos luchábamos casi en diario. Cuando nosotros salimos nuestra casa por universidad, nosotros fuimos maneras diferentes porque yo vine a la Universidad de *UNIVERSITY* de *UNIVERSITY* y él fue a la Universidad de *UNIVERSITY* de *UNIVERSITY*. Casi toda de mi familia asistía universidades de *STATE*: mi padre fue a *UNIVERSITY, y mi hermanastro *FIRST_NAME* fue a *UNIVERSITY*, mientras mi otro hermanastro fue a *UNIVERSITY* también, como mi. Su experiencia me hizo querer asistir *UNIVERSITY*, porque el encantó la escuela mucha y él es un modelo a seguir en mi vida para mi.
",,,,,
11,198432,yourself,W20,SPA 2,19,Female,English,,no,,3,3,3,3,No,"Yo soy atletica y activa. Mi deporte favorita es Track y Field. e gusta cross country tambien. Yo tengo pelo moreno. Mi padre y mi hermano tienen pelo moreno tambien. Mi perro es pequeno. Mi dia de la semana favorita es viernes. En el verano yo corre en la manana qorque es mucho calor. En el invierno yo cree en la tarde porque es frio. No me gusta invierno. Mi comida favoria es pollo. Mi perro se llama *FIRST_NAME*. *FIRST_NAME* le gusta mi padre mucho. *FIRST_NAME* tiene *AGE* anos. Su cumplianoes es *BIRTH_DATE* de *BIRTH_DATE*. Yo corre much cada dia porque me gusta correr. Mi tia le gusta correr mucho tambien. Ella corre venteseis point dos miles en la marathon de *CITY*. Cuando ella corre yo corro en practica. Mi specialization es Design. Yo tomo mucho clases de Design. Me gusta Industrial Design. No soy alto pero no soy bajo. Tengo el pelo largo y castaño. Mi papá, mi hermano y mi perro tienen el pelo más corto.  Mi mim tiene el pelo más largo que ellos pero más corto que yo. A mi perro también le gusta correr. A ella le gusta caminar más. Mi papá y mi perro caminan mucho. Mi perro corre corto y yo corre largo. Mi mamá papá y mi hermano no corren. Mi hermano y papá juegan tenis. Yo no juego al tenis. Mi mes favorito es abril. Me gusta la primavera. También me gusta el verano. No me gusta el invierno. Nos vemos
",,,,,
12,237566,yourself,W20,SPA 23,20,Female,English,,,,3,3,3,3,No,"Me llamo *FIRST_NAME*, estudio en *UNIVERSITY*. Nací en *CITY* *CITY* pero vivía en *CITY* County antes de me quedé em *CITY* para asistir universidad. Mi familia y yo nos llevamos muy bien y se extraño mucho. Asistí *UNIVERSITY* Community College por dos años antes de *UNIVERSITY* *UNIVERSITY* y pensé que los profesores son fantásticos. La universidad fue más pequeño que *CITY* así que los profesores se conocen los estudiantes.

Durante la escuela, no tenía un idea de que quisiera estudiar en universidad. Por dos o tres años no me interesa la idea de asistir una universidad pero mis padres y todos mis profesores me dijeron que educación es necesario. En mi año final en escuela, mi profesora de español y yo pasamos mucho tiempo a juntos y ella me ayudó mucho con las decisiones en mi vida. Su clase me inspiró que continuar estudiar en universidad y también estudiar español. Mi pasión para español me sigue a un pasión de las idiomas y yo decidía que estudiar linguisticas. En mi primer universidad, no ofrece muchas clases en la tema así que leí algunos libros en preparación de la nivel universidad. 

Aparte de estudiar, me gusta much pasar tiempo con mis amigos. Muchas de mis amigas asisten universidad acerca del *CITY* *CITY* así que durante fines de semanas largas, les visito por el tren. Usualmente, comimos o vagamos por las calles pero nos divertimos. También, yo hablo mucho con mi familia por el teléfono. Tengo una hermana mayor quien viva en la casa de mis padres así cuando toda de mi familia están en la casa, ellos me llaman. 
",,,,,
13,206074,yourself,W20,SPA 21,19,Male,English,,,,1,2,2,3,No,"No estoy seguro de dónde comenzar a describirme. Actualmente tengo *AGE* años. Mi cumpleaños es en *BIRTH_DATE* y he vivido en *STATE* toda mi vida. Soy estudiante de segundo año en *UNIVERSITY* *UNIVERSITY* y estoy estudiando economía y filosofía. En este momento, también estoy estudiando español porque deseo enriquecerme y  tener un segundo idioma. Además, me siento mal porque estudié el idioma en la escuela secundaria y todavía no lo he aprendido. En el future, quiero ser abogado, así que en el verano planeo estudiar para el LSAT.  Además de mis estudios, estoy tratando de obtener un trabajo a tiempo parcial para poder ganar experiencia de trabajo y algo dinero extra.

Vivo en un departamento con otras cinco personas. Conocí a todas estas personas en mi residencia durante mi primer año. Todos vivíamos en el cuarto piso. Fue muy conveniente poder encontrar compañeros de cuarto rápidamente el año pasado. Además, es agradable vivir con personas motivadas y ambiciosas.

Cuando era más joven, hacía muchas actividades extracurriculares. Estaba nadando y tocando la trompeta para diferentes bandas antes de ir a la universidad. Para mí, es curioso cómo las solicitudes universitarias se preocupan tanto por las actividades extracurriculares pero la mayoría de los estudiantes estarán demasiado ocupados para continuar esas actividades en la universidad. Una vez que me gradúe de la universidad, voy comenzaré a hacer estas actividades nuevamente.

No sé qué más puedo contarte sobre mí. Yo valoro mi privacidad y no disfruto compartiendo demasia. No useo las redes sociales muchos. Estoy en la minoría en ese aspecto.

 

 

 
",,,,,
14,235669,yourself,W20,SPA 22,18,Female,English,,Tamil,,2,3,4,4,No,"Hola,

Yo soy *FIRST_NAME*. Estoy en mi primer año de universidad. Yo quiero obtener un título universitario en biotecnología. Cuando era niña, me encantaban aprendizaje y ciencias. En colegio, estuve en muchos programas después de escuela. Mis clubes favoritos fueron Olimpiada de Ciencias, Decatlón Académico, y el Club de Llave. Durante los veranos, yo trabajé en la alberca de mi ciudad (como una salvavidas). Me encantaron mi trabajo y el agua. Mis intereses jugaron un papel importante en mi vida. Yo quiero ser una científica o trabajador para una compañía de biotecnología. Ahora, yo soy una empleada para el laboratorio de las nueces. Yo quiero que el trabajo ayude mis decisiones. Me encanta el trabajo porque es muy divertido, pero ofrece retos para mejorar mis habilidades. Mis pasatiempos incluyen el programa Jeopardy!, el arte, la natación, libros bonitos, y la naturaleza. Cuando yo voy a mi casa, generalmente paso tiempo con mi perro, mis padres, y mi hermanito. Yo extraño mi casa y mi familia mucho. 
",,,,,
15,176665,yourself,W20,SPA 2,21,Female,English,,,,1,1,2,1,No,"Me llamo *FIRST_NAME* *LAST_NAME*. Tengo *AGE* anos. Mi cumpleanos es el *BIRTH_DATE* de *BIRTH_DATE*. Soy de *CITY*, *STATE*, pero nacio en *CITY* *CITY*, *STATE*. Mi especialidad es International Agricultural Development porque me gustan las plantas. Soy baja y tengo el pelo largo rizada.  Soy de morena y parezco mi familia. Tengo una hermana menor, *FIRST_NAME*. Ella es baja y tiene el pelo largo rizada tambien. Tengo dos hermanos, *FIRST_NAME* y *FIRST_NAME*. *FIRST_NAME* es delgado y mi hermano mayor *FIRST_NAME* es poquito gordito. Mi madre es *FIRST_NAME. Ella es baja y hermosa. Mi padre es *FIRST_NAME*. El es alto y fuerte. Tengo una sobrina, *FIRST_NAME*. Ella es la hija de mi hermano mayor *FIRST_NAME* y es muy bonita. Tengo un novio, *FIRST_NAME*. Tiene *AGE* anos. Vive en *CITY*, *PLACE* porque trabajar en la fuerza armada. Tengo uno gato y cuatro perros. Me gusta bailar y salir con mis amigos los fines de semana. Soy comica y amigable. No soy paciente. Vivo en un apartamento en *CITY* con tres chicas. Comparto una habitación con *FIRST_NAME*, mi companero de cuatro. Estoy limpio y ella está un poco sucia. Me levanto temprano en la mañana y ella se levanta por la tarde. tengo que dormir a las once de la noche. Me gusta leer y ver Netflix. Me gusta estudiar en el biblioteca porque es tranquilo. No me gusta estudiar en el centro estudiantily o ir al gimnasio. Creo que la universidad es difícil, pero divertido. Quiero juntarse a los clubes y hacer nuevos amigos. 
",,,,,
16,241912,yourself,W20,SPA 23,19,Female,"English,Spanish",,Spanish,Portuguese; I would communicate in that language with the native Portuguese people in my hometown. I've had a good understanding of Portuguese but I don't consider myself fluent.,4,4,5,5,No,"Es mi primer ano aquí en la universidad de *UNIVERSITY* *UNIVERSITY* y estudio las ciencias de animales y espanol. Siempre me encantado los animales desde pequena. Antes de llegar a *CITY*, vivía en un pueblo chiquito en *CITY*. Allí, vivía  cerca a los ranchos  con vacas y chivos. Siempre jugaba con los animales en el rancho. Tambien tenía mis propios chivos que  vendía yo a las tiendas. Crecía muchos vegetales en el jardin de mi escuela. El espanol era mi primer idioma y yo comunicaba con mi familia en esa lengua. Vivía cerca a la playa y solía ir todas las días. Adicionalmente, my pueblo estaba cubierto en arboles. Participaba en el excursionismo y ayudaba limpiar las playas. Ahora que estoy en *CITY* tuve que dejar mis pasatiempos. En *CITY* ahora paso más tiempo con amigos y voy más al gimnasio. Tambien trabajo mas con los animales porque hay mas oportunidades. Tambien estoy estudiando mucho porque quiero marcas buenas en la escuela. 

Como persona, yo soy muy activa y me gusta hablar con la gente. Me gusta pasar tiempo con amigas. No me gusta estar en mi cuarto haciendo nada. Soy inteligente, estudio mucho porque quiero buenas marcas. Me gusta tomar muchas clases porque me interesa mucho la educación. Algun dia quiciera yo hacer profesor de ciencias animales porque quiero compartir a todo el mundo el amor que yo tengo para los animales. Siempre me ha gustado la educación y quiero ensenar a los jovenes que quieren mejorar se futuro.
",,,,,
17,170228,yourself,W20,SPA 2,20,Male,English,,Tagalog ,,2,2,2,2,No,"Hola, mi nombre es *FIRST_NAME* *FIRST_NAME* *LAST_NAME* y asisto a la Universidad de *UNIVERSITY* *UNIVERSITY*. Nací en *STATE* y viví en *CITY* toda mi vida hasta ir a la escuela en *CITY*. Tengo *AGE* años y soy *PLACE*. Solía ​​practicar muchos deportes en la escuela secundaria, como tenis, campo a través y bádminton. Mis dos padres son *PLACE*, por lo que hablan tagalo y puedo entenderlos y responderles, sin embargo, no soy fluido. Cuando se trata de mi situación de vivienda, vivo en un departamento con otras tres personas para hacerlo más barato. En general, soy una persona muy frugal. En mi tiempo libre me gusta cocinar y hacer ejercicio y esto solo comenzó a ocurrir cuando me mudé de mi casa. Antes de dejar que mis padres se encargaran de todo por mí, diría que me he vuelto mucho más independiente desde que me mudé. Soy bastante bajita y delgada para mi edad. Sin embargo, tengo mucha energía, por eso me gusta hacer mucho ejercicio y correr. En mi tiempo libre también juego muchos videojuegos. Los videojuegos son una forma de mantenerme en contacto con muchos amigos en *CITY* porque puedo hablar con ellos incluso cuando viven lejos. No soy tan social, pero los amigos que tengo son muy cercanos. Otra cosa que debes saber sobre mí es que tengo doble articulación, así que mi brazo no es normal. Esto me dificulta practicar ciertos deportes y mi entrenador solía enojarse conmigo a menudo por eso. En cuanto a más descripciones físicas, tengo ojos marrones y cabello castaño, puedo dejarme crecer el bigote rápidamente pero prefiero una cara limpia. Si alguna vez me ves en alguna parte, no dudes en saludarme. Eso es todo lo que puedo pensar para describirme, gracias.
",,,,,
18,152885,yourself,W20,SPA 3,21,Female,English,,,,3,3,1,3,No,"Hola, mi nombre es *FIRST_NAME*. Yo soy de *CITY*, *STATE*, pero nací en el cuidad de *CITY* *CITY*. Mi mama es de *CITY* *CITY* y mi papa es de *PLACE*, pero mis hermanos y yo vivimos en *STATE* para la mayoría de nuestra vidas. Tengo una buena relación con mis hermanos, y cuando éramos niños siempre estábamos juntos. Ahora tengo *AGE* *AGE* años y estoy tomando mis ultimas clases para graduarse. Decidí a tomar español tres para mejorar mis habilidades de hablar y escribir en esta languaje. En el primer día de clases me sentía un poquito nerviosa por que ha pasado mucho tiempo desde he tomado una clase de español. Pero en el cuarto semana me siento más comfortable en la clase. Tengo familia que vive en *PLACE* *PLACE* pero no le he visto hasta catorce años. Espero que podría visitarles en el futuro. Anque estoy terminando mis clases, todavía tengo tiempo para pasatiempos. Por ejemplo, en mi tiempo libre a mí me gusta dibujar y pintar mucho. También, pienso que es muy divertido cuando puedo practicar senderismo con mis amigos aquí en *CITY*. Si la escuela fuera más acerca de la playa iría todo los fin de semanas! Despues de la universidad no estoy seguro que yo quiero hacer para trabajar. Estaba pensando a trabajar para el gobierno como un ""forensic toxicologist"" pero quiero más experencia antes de decidiendo si esto es que lo quiero hacer. De todo modos, estoy emocionada, pero un poquito triste que me voy a graduar este verano. 

 
",,,,,
19,235220,yourself,W20,SPA 3,18,Male,English,,,,2,3,3,3,No,"Hola todos, mi nombre es *FIRST_NAME* y yo tengo *AGE* años y voy a la universidad de *UNIVERSITY*. Mi pelo es rizado y moreno porque así lo tienen mi madre y padre. También, mis ojos y mi piel son morenas. Yo soy de *CITY* *CITY*, *STATE*, esta cercas de *CITY* *CITY*. Yo estoy alto, mido cinco pies y diez pulgadas. Siguiendo a mi hermano, so soy el mas alto en mi familia. Estoy delgado, pero yo creo que tengo unas curvas. Mi favorita característica es mi sonrisa, porque mis amigos dicen que les ilumino sus vidas. Cuando no estoy estudiendo, me gusta salir con mis amigos de la universidad a la ciudad. Vamos a las tiendas o a comer, aunque soy vegetariano. Los lugares de comida tienen opciones de comida que esta hecha sin carne. En mi lugar de residencia, tengo amigos con los que estudio, porque tenimos clases en común. Cuando voy a los lugares de comercio, me gusta comprar aretes. Me dan un sentimiento de confianza. Aunque estoy en *CITY*, también extrano mis amigos de casa, ellos me entienden mas y con ellos puedo hablar si tengo dificultades aquí. Por eso tambien les llamo si no me siento bien, porque ellos me hacen sonrier cuando las cosas no estan muy bien, o cuando estoy estresado. Otra manera de quitar me el estres es ir al gimnasio. Esta cercas de mi, y camino o me voy en mi bicicleta. Voy después de mis clases porque empiezan bien temprano y no puedo ir antes. 
",,,,,
20,197689,yourself,W20,SPA 2,19,Female,English,,None,None,2,3,3,2,No,"Describiéndome físicamente, tengo el pelo rubio. Tengo ojos verdes y piel blanca. No soy alto, pero no soy bajo, tengo una altura promedio como cinco cinco. Soy pequeño pero fuerte y parezco atlético. Cuando describo la personalidad, soy amable y amable, pero cuando la persona está enojada o cruel conmigo, hablo por mí mismo. Me gusta hacer deporte y hacer mucho ejercicio porque cuando no hago ejercicio puedo estar de mal humor. Mi familia es lo más importante para mí. Mi madre y mi padre son mis buenos amigos pero también mis padres. Mi hermano también es mi amigo y él es muy divertido y amable. Tengo muchos primos, pero un primo es mi mejor amigo. Ella y yo somos amigos desde nacimente. También tengo dos mejores amigos de la escuela secundaria. *FIRST_NAME* y *FIRST_NAME* son mis mejores amigas y las quiero mucho. Ahora, no los vi mucho porque estamos en la escuela pero siempre son mis mejores amigos. Visitaré Reya en Hawai con *FIRST_NAME* en abril para las vacaciones de primavera.También tengo amigos en la Universidad de *UNIVERSITY*. Soy miembro de una hermandad y en la hermandad yo tengo muchas amigas. En general, me gusta mucho mi vida. Tengo una buena familia y buenos amigos y me gustan mis estudios. Estudio ciencias políticas, económicas y españolas. Mi asignatura favorita es la ciencia política porque es más interesante y quiero ser abogado cuando sea mayor.Me apasionan los derechos de la educación y creo que la educación debería ser gratuita para todas las personas porque es un derecho fundamental para todos.
",,,,,
21,214040,yourself,W20,SPA 23,19,Male,English,Not Applicable,No i do not,I have studied no other language than Spanish,3,4,4,4,No,"Hola, he tomado cuatro clases de español a *UNIVERSITY* *UNIVERSITY* y tres clases a la secondaría. La familia de mi madre es de *PLACE* y la que de mi padre es de *PLACE* y *PLACE*. Me gusta leer, jugar videojuegas, mirar Netflix, y pasar tiempo con mis amigos. Mi libro favorito es East of Eden por John Steinbeck. Es un libro sobre dos hermanos que viven con solo un padre porque su madre se fue cuando ellos eran niñitos. Los nombes del chicos son Adam y Cal Trask. Otra de libros, yo también jugat videojuegas a veces. Recentamente, no he puesto jugar porque tengo que hacer otras cosas paara escuela, pero cuando quiero relajar, decido hacerlo.  También miro netflix con mi familia cuando voy a casa. A nosostros nos gusta mirar muchas peliculas. Usualmente, miramos películas sobre historía. Me gusta historía mucho, por eso decidí estudiarlo cuando vengo a *UNIVERSITY* *UNIVERSITY*. Después de terminar escuela a *UNIVERSITY*, quiero ir a la escuela de abogados. Deseo ser un abogado para mi carera, specificamente un abogado de familia o immigración. Mi abuelo fue un immigrante y tengo ganas de ayudar personas como él. Mi hermano quiere ser un maestro, pero no sé si lo hacerá en diez años. ¿Qué más.....? ¡Yo sé! Tengo una familia muy largo. Tengo siete primos por mi padre y ocho primos por mi madre. Nosotros crecíamos juntos y nos hemos concido para todos nuestros vidas. Nos amo mucho y estoy felíz que nos conozco. Algunas personas nunca conocen sus primos. La casa de mi abuelo estaba era llena con chicos y chicas.  Teníamos mucho suerte. 
",,,,,
